queuePosition,routeId,selectionMode,knowledgePointIds,questionType,depthMode,contextMode,contractCapacity,liveAccepted20AcrossSeeds,liveFailureCodes,runtimeErrorCodes,seed1QuestionCount,seed1UniquePromptCount,seed2QuestionCount,seed2UniquePromptCount,patternSpecIdsObserved
35,pgc_r03_g5a_u02_5a02_mixed_713966a43bbd,singleKnowledgePoint,kp_g5a_u02_remainder_transfer_under_divisor_relation,mixed,mixed,abstract_math,4,false,DUPLICATE_PROMPT,,20,15,20,15,ps_g5a_u02_remainder_transfer
36,pgc_r03_g5a_u02_5a02_mixed_7283aeb2bf61,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,basic,daily_life,14,false,DUPLICATE_PROMPT,,20,20,20,19,ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_maximum_equal_grouping
37,pgc_r03_g5a_u02_5a02_mixed_72b3c79eb4a1,singleKnowledgePoint,kp_g5a_u02_equal_partition_factor_application,mixed,basic,daily_life,5,false,DUPLICATE_PROMPT,,20,17,20,17,ps_g5a_u02_equal_partition_all_segment_counts
38,pgc_r03_g5a_u02_5a02_mixed_72d77c683f8e,singleKnowledgePoint,kp_g5a_u02_square_tile_area_possibilities,mixed,mixed,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_square_tile_area_possibilities
39,pgc_r03_g5a_u02_5a02_mixed_7717949b5db2,singleKnowledgePoint,kp_g5a_u02_remainder_transfer_under_divisor_relation,mixed,extended,mixed,4,false,DUPLICATE_PROMPT,,20,15,20,15,ps_g5a_u02_remainder_transfer
40,pgc_r03_g5a_u02_5a02_mixed_7d59509c8110,sourceUnit,,mixed,extended,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_square_tile_area_possibilities
41,pgc_r03_g5a_u02_5a02_mixed_7d6d0bfb0951,singleKnowledgePoint,kp_g5a_u02_square_tile_area_possibilities,mixed,extended,mixed,14,true,,,20,20,20,20,ps_g5a_u02_square_tile_area_possibilities
42,pgc_r03_g5a_u02_5a02_mixed_7f35706aa394,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_division,mixed,mixed,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_enumeration_trial_division
43,pgc_r03_g5a_u02_5a02_mixed_7f4419bb331b,singleKnowledgePoint,kp_g5a_u02_number_theory_problem_type_discrimination,mixed,mixed,mixed,15,true,,,20,20,20,20,ps_g5a_u02_problem_type_classification
44,pgc_r03_g5a_u02_5a02_mixed_82829fad625b,singleKnowledgePoint,kp_g5a_u02_number_theory_problem_type_discrimination,mixed,basic,abstract_math,15,true,,,20,20,20,20,ps_g5a_u02_problem_type_classification
45,pgc_r03_g5a_u02_5a02_mixed_866d481e5723,singleKnowledgePoint,kp_g5a_u02_equal_partition_factor_application,mixed,mixed,mixed,9,false,DUPLICATE_PROMPT,,20,19,20,19,ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_equal_partition_range_constrained_recipients
46,pgc_r03_g5a_u02_5a02_mixed_87d966f3060d,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,mixed,extended,mixed,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
47,pgc_r03_g5a_u02_5a02_mixed_8f70482689c0,singleKnowledgePoint,kp_g5a_u02_equal_partition_factor_application,mixed,extended,daily_life,5,false,DUPLICATE_PROMPT,,20,17,20,17,ps_g5a_u02_equal_partition_range_constrained_recipients
48,pgc_r03_g5a_u02_5a02_mixed_8f8b163cf5d0,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_multiplication_pairs,mixed,mixed,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs
49,pgc_r03_g5a_u02_5a02_mixed_91df3cd4c346,singleKnowledgePoint,kp_g5a_u02_factor_criterion_multiplication_division_equivalence,mixed,mixed,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_relation_equivalence
50,pgc_r03_g5a_u02_5a02_mixed_994af9bc0416,singleKnowledgePoint,kp_g5a_u02_factor_pair_order_and_symmetry,mixed,mixed,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_order_and_symmetry
51,pgc_r03_g5a_u02_5a02_mixed_9aa11fabacdb,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_multiplication_pairs,mixed,basic,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs
52,pgc_r03_g5a_u02_5a02_mixed_a43383ed94db,singleKnowledgePoint,kp_g5a_u02_factor_criterion_multiplication_division_equivalence,mixed,basic,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_relation_equivalence
53,pgc_r03_g5a_u02_5a02_mixed_a985b70bf98d,singleKnowledgePoint,kp_g5a_u02_rectangle_equal_square_side_lengths,mixed,mixed,mixed,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths
54,pgc_r03_g5a_u02_5a02_mixed_b0b12702bfac,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_division,mixed,basic,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_enumeration_trial_division
55,pgc_r03_g5a_u02_5a02_mixed_b1af1ebdd0ac,singleKnowledgePoint,kp_g5a_u02_greatest_common_factor,mixed,basic,mixed,9,true,,,20,20,20,20,ps_g5a_u02_greatest_common_factor
56,pgc_r03_g5a_u02_5a02_mixed_b1cff96674de,singleKnowledgePoint,kp_g5a_u02_equal_partition_factor_application,mixed,basic,mixed,5,false,DUPLICATE_PROMPT,,20,17,20,17,ps_g5a_u02_equal_partition_all_segment_counts
57,pgc_r03_g5a_u02_5a02_mixed_b2ef31937ed9,singleKnowledgePoint,kp_g5a_u02_divisibility_factor_membership_judgement,mixed,basic,abstract_math,14,false,DUPLICATE_PROMPT,,20,18,20,19,ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement
58,pgc_r03_g5a_u02_5a02_mixed_b644a491c7c9,singleKnowledgePoint,kp_g5a_u02_common_factor_enumeration,mixed,mixed,mixed,9,true,,,20,20,20,20,ps_g5a_u02_common_factor_enumeration
59,pgc_r03_g5a_u02_5a02_mixed_bfc3a2755e07,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,basic,mixed,15,false,DUPLICATE_PROMPT,,20,20,20,19,ps_g5a_u02_common_factor_concept_identification|ps_g5a_u02_common_factor_enumeration|ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement|ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_factor_relation_equivalence|ps_g5a_u02_factor_enumeration_trial_division|ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs|ps_g5a_u02_factor_order_and_symmetry|ps_g5a_u02_greatest_common_factor|ps_g5a_u02_maximum_equal_grouping|ps_g5a_u02_problem_type_classification|ps_g5a_u02_rectangle_square_side_lengths
60,pgc_r03_g5a_u02_5a02_mixed_c1e9faeaa57f,singleKnowledgePoint,kp_g5a_u02_factor_criterion_multiplication_division_equivalence,mixed,mixed,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_relation_equivalence
61,pgc_r03_g5a_u02_5a02_mixed_c5cd7525db98,singleKnowledgePoint,kp_g5a_u02_factor_pair_order_and_symmetry,mixed,mixed,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_order_and_symmetry
62,pgc_r03_g5a_u02_5a02_mixed_c98608c7a48d,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,extended,mixed,12,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_equal_partition_range_constrained_recipients|ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation|ps_g5a_u02_missing_factor_reconstruction|ps_g5a_u02_multi_constraint_digit_code|ps_g5a_u02_possible_equal_packaging_counts|ps_g5a_u02_remainder_transfer|ps_g5a_u02_square_tile_area_possibilities
63,pgc_r03_g5a_u02_5a02_mixed_cbb8d509c527,singleKnowledgePoint,kp_g5a_u02_multi_constraint_digit_code_number_theory,mixed,extended,abstract_math,8,false,DUPLICATE_PROMPT,,20,8,20,8,ps_g5a_u02_multi_constraint_digit_code
64,pgc_r03_g5a_u02_5a02_mixed_cfc84e72edd3,sourceUnit,,mixed,extended,daily_life,14,false,DUPLICATE_PROMPT,,20,20,20,19,ps_g5a_u02_equal_partition_range_constrained_recipients|ps_g5a_u02_possible_equal_packaging_counts
65,pgc_r03_g5a_u02_5a02_mixed_d2a2d46e08f3,singleKnowledgePoint,kp_g5a_u02_remainder_transfer_under_divisor_relation,mixed,extended,abstract_math,4,false,DUPLICATE_PROMPT,,20,15,20,15,ps_g5a_u02_remainder_transfer
66,pgc_r03_g5a_u02_5a02_mixed_dddcf38cc371,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_multiplication_pairs,mixed,basic,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs
67,pgc_r03_g5a_u02_5a02_mixed_e020abc62820,singleKnowledgePoint,kp_g5a_u02_square_tile_area_possibilities,mixed,mixed,mixed,14,true,,,20,20,20,20,ps_g5a_u02_square_tile_area_possibilities
68,pgc_r03_g5a_u02_5a02_mixed_e5f1485fc011,singleKnowledgePoint,kp_g5a_u02_greatest_common_factor,mixed,mixed,abstract_math,9,true,,,20,20,20,20,ps_g5a_u02_greatest_common_factor
69,pgc_r03_g5a_u02_5a02_mixed_e8825b5159e7,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,basic,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths
70,pgc_r03_g5a_u02_5a02_mixed_e967d8b1180b,singleKnowledgePoint,kp_g5a_u02_equal_partition_factor_application,mixed,mixed,daily_life,9,false,DUPLICATE_PROMPT,,20,19,20,19,ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_equal_partition_range_constrained_recipients
71,pgc_r03_g5a_u02_5a02_mixed_eab67e38d2f3,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,mixed,daily_life,16,true,,,20,20,20,20,ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_equal_partition_range_constrained_recipients|ps_g5a_u02_maximum_equal_grouping|ps_g5a_u02_possible_equal_packaging_counts
72,pgc_r03_g5a_u02_5a02_mixed_edb6025b441a,singleKnowledgePoint,kp_g5a_u02_rectangle_equal_square_side_lengths,mixed,basic,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths
73,pgc_r03_g5a_u02_5a02_mixed_f13e036a5785,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,extended,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_square_tile_area_possibilities
74,pgc_r03_g5a_u02_5a02_mixed_f1cd86b50796,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,mixed,mixed,mixed,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
75,pgc_r03_g5a_u02_5a02_mixed_f656b24b4148,singleKnowledgePoint,kp_g5a_u02_number_theory_problem_type_discrimination,mixed,basic,mixed,15,true,,,20,20,20,20,ps_g5a_u02_problem_type_classification
